title,date,text
Parturiente-mãe; Responsável legal-pai,23/09/2024,Suprimir de documentos oficiais as palavras mãe e pai é parte de um projeto para minimizar a importância da instituição familiar.
"A vaca, o brejo, a missão",16/09/2024,Ao caminhar damos um passo de cada vez. O passo de agora é este.
A Pátria é uma dádiva? Uma dívida? Uma dúvida?,09/09/2024,Chegamos a um ponto em que até o amor à Pátria se pretende eliminar.
Quando o povo não se importa,02/09/2024,"Se o povo não se importar, os donos do poder sentem-se liberados para fazer o que bem entenderem. "
Constitucionalismo a marteladas,26/08/2024,Fizeram uma constituição tão minuciosa que nada acontece no país sem as famosas Propostas de Emenda à Constituição (PECs).
A diferença entre a cruz e a flecha,19/08/2024,"Um debate  no parlamento francês sobre o cartaz dos Jogos Olímpicos proporciona notável lição sobre história, a nação e seus símbolos."
As escolas cívico-militares e seus inimigos,12/08/2024,"Os inimigos das escolas cívico-militares sabem que as comunidades as desejam e comemoram. Então, atacam por dentro do ""sistema"" , discretamente."
Olha o estrago que eles fazem!,06/08/2024,A culpa dos omissos que se julgam tão bons que só votam em alguém tão perfeito quanto eles.
Quando o esquerdismo vira carreira de Estado.,29/07/2024,"O culto ao Estado, típico do esquerdismo, é a causa do empobrecimento da população. A nona economia do mundo convive com o 76º PIB per capita."
Em defesa do mandato do deputado Maurício Marcon,22/07/2024,"É incrível que, por bagatelas, se esteja cassando mandatos de parlamentares."
O perigo esquerdista ronda nossos filhos,19/07/2024,Os pais não podem delegar às escolas a formação política de seus filhos.
O suicídio das Instituições,15/07/2024,As instituições do Estado brasileiro estão num processo autodestrutivo e a sociedade vai ficando vulnerável.
A extrema esquerda torna indispensável a anistia,08/07/2024,"Que ninguém se oponha à anistia por desejo de justiça. A anistia não é um ato de Justiça, mas um constitucional e sensível ato de Política."
Chega de barbárie!,01/07/2024,"Atenção, senhores e senhoras congressistas cuja moralidade não se curva às conveniências!"
A extrema esquerda em lockdown mental,24/06/2024,Por que tanto interesse em silenciar as redes sociais?
A cara do Brasil,17/06/2024,"Parece piada, mas não é. Péssimo hábito esse de escolher soluções sabidamente erradas para problemas conhecidos."
"Anistia já, para o bem do Brasil",10/06/2024,A anistia de que entra em discussão no Congresso Nacional é indispensável ao bem comum e ajudará a reduzir o estresse político nacional.
"Afinal, a quanta liberdade, segurança e poupança você quer renunciar?",03/06/2024,"Neste vídeo falo sobre dois problemas essenciais (e onerosos, por tudo que nos tomam) do sistema político instalado no país."
As redes sociais não são o problema. O problema é outro.,27/05/2024,"Subitamente, uniram-se os poderes que mandam no país a apontar as redes sociais como  causa maior dos nossos problemas políticos. Isso é pura desinformação."
"Fake, mesmo, tem sido o Estado.",20/05/2024,"O estado é uma necessidade das nações, mas o modelo político e institucional adotado pelo Brasil frauda as expectativas da sociedade."
O Rio Grande em sua hora mais amarga,13/05/2024,"A tragédia das águas é acolhida num oceano de solidariedade. Muito obrigado, Brasil."
"Entrevista em 2019 Utopias, Totalitarismos e Política",09/05/2024,"Entrevista que concedi ao programa Cruzando as Conversas, na RDC TV. Programa comandado por Guilherme Macalossi, sendo entrevistadores os jornalistas Cleber Benvegnú e Silvio Lopes. Muito conteúdo importante."
Madrugada de Domingo em Porto Alegre,06/05/2024,Reflexões da madrugada sobre a enchente no Rio Grande do Sul.
Representantes versus representados,01/05/2024,"No Brasil, os equívocos do sistema eleitoral afastam o representante do representado."
O novo Adão de extrema esquerda,29/04/2024,"Vendo-se como um ser humano moralmente superior, ele aplica às ideias de Gramsci as técnicas publicitárias de Goebbels. Credo!"
O último pau do galinheiro,22/04/2024,Como podem os representantes representar quem não pode se manifestar?
Traidores,15/04/2024,Cerca de 200 congressistas traem as expectativas e a confiança de seus eleitores!
Justiça politizada e política judicializada,11/04/2024,"Pessoas de bem não permitem que a política lhes suprima a indignação perante a injustiça e, menos ainda, que com ela se regozijem."
Tudo que é podre cai no chão.,08/04/2024,Muitas das grandes certezas humanas vêm da observação da natureza.
Veneno ideológico de longa duração.,03/04/2024,"Existem venenos que se inscrevem lentamente no organismo e social. Seus efeitos, porém, se agravam com o passar do tempo."
Quem está puxando os cordões da tirania?,01/04/2024,Uma análise de conjuntura e perspectivas sobre os principais atores da cena política brasileira. 
